Assigned to,id,name,address1,zip,country,latitude,longitude,phone,Yelp URL of Business,City Page,Notes,Yelp search URL
JE,5613,CP - ROOM 438,CANDLESTICK PARK,94124,US,37.712613,-122.387477,14155332420,-unmatched,http://dph-extranet2.sfdph.org:7777/pls/eeop_htmldb/f?p=132:2:3389746375077206::NO::P2_LOCATIONID:5613,,"http://www.yelp.com/search?find_desc=CP - ROOM 438#find_loc=CANDLESTICK PARK,sf"
,5916,UNIVERSITY HIGH SCHOOL,3065 JACKSON ST,94115,US,37.791043,-122.445476,,university-high-school-san-francisco,,,
,68608,CORIANDER GOURMET THAI,135 04TH ST FC-07,94103,US,37.784103,-122.403669,,coriander-gourmet-thai-san-francisco-2,,,
,68068,THE CHAI CART,525 MARKET/360 VALENCIA,,US,,,,the-chai-cart-san-francisco,,,
SM,7989,SUN VALLEY PRODUCE,2000 MCKINNON AVE BLDG.417#18,94124,US,37.740179,-122.396761,,unmatched,http://dph-extranet2.sfdph.org:7777/pls/eeop_htmldb/f?p=132:2:3389746375077206::NO::P2_LOCATIONID:7989,,"http://www.yelp.com/search?find_desc=SUN VALLEY PRODUCE#find_loc=2000 MCKINNON AVE BLDG.417#18,sf"
,38565,DISCOUNT CENTER,1200 VALENCIA ST,94110,US,37.753497,-122.420825,,first-discount-center-san-francisco,,,"http://www.yelp.com/search?find_desc=DISCOUNT CENTER#find_loc=1200 VALENCIA ST,sf"
,26341,"NATURAL MARKET, INC.",2201 PINE ST,94115,US,37.788113,-122.432147,14155921320,,http://dph-extranet2.sfdph.org:7777/pls/eeop_htmldb/f?p=132:2:3389746375077206::NO::P2_LOCATIONID:26341,,"http://www.yelp.com/search?find_desc=NATURAL MARKET, INC.#find_loc=2201 PINE ST,sf"
,39404,ACADEMY CAFÉ COFFEE & ICE CREAM CART,55  DR,94118,US,,,,,http://dph-extranet2.sfdph.org:7777/pls/eeop_htmldb/f?p=132:2:3389746375077206::NO::P2_LOCATIONID:39404,,"http://www.yelp.com/search?find_desc=ACADEMY CAFÉ COFFEE & ICE CREAM CART#find_loc=55  DR,sf"
,5938,HAMLIN,2120 BROADWAY ST,94115,US,37.794608,-122.432474,,hamlin-mansion-san-francisco,,,
,29950,MRS FIELD'S COOKIES,PIER 39  B-06,94133,US,37.802479,-122.411234,,mrs-fields-cookies-san-francisco-3,,,
,67096,AK DOUBLE UP,665 03RD ST STE.#20,94107,US,37.779334,-122.393292,,,http://dph-extranet2.sfdph.org:7777/pls/eeop_htmldb/f?p=132:2:3389746375077206::NO::P2_LOCATIONID:67096,,"http://www.yelp.com/search?find_desc=AK DOUBLE UP#find_loc=665 03RD ST STE.#20,sf"
,60060,IL PASTAIO FRESH PASTA COMPANY,100 ALEMANY BLVD,94110,US,,,,,http://dph-extranet2.sfdph.org:7777/pls/eeop_htmldb/f?p=132:2:3389746375077206::NO::P2_LOCATIONID:60060,,"http://www.yelp.com/search?find_desc=IL PASTAIO FRESH PASTA COMPANY#find_loc=100 ALEMANY BLVD,sf"
,67145,DIVINE PETITES,1700 O'FARRELL @ FILLMORE,94115,US,,,,,http://dph-extranet2.sfdph.org:7777/pls/eeop_htmldb/f?p=132:2:3389746375077206::NO::P2_LOCATIONID:67145,,"http://www.yelp.com/search?find_desc=DIVINE PETITES#find_loc=1700 O'FARRELL @ FILLMORE,sf"
